,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT
5071,F,6,3,51.229,637294.321,0.864,20.0,1667275.813,77.741,55645.247,1.169,38564.551,59.0,266576.254,0.961,1264.0,52.93,0.935,17.991,8.878,8.237,214.211,1244.458,8621.483,12556150.023,1456.379,0.54,100.923,3,184.096,8.878,8.237,0.724,62.794,0,1,18,45,,,,,,,,,,
5072,F,6,4,88.304,1530998.205,0.85,32.0,4191328.04,448.702,500395.275,1.159,14363.698,21.0,314587.762,0.835,1545.0,53.671,1.005,19.548,12.983,9.773,191.501,1642.747,14268.472,23793060.553,1667.527,0.192,193.729,4,330.522,12.983,9.773,0.816,109.088,0,2,18,45,,,,,,,,,,
5073,F,6,5,130.132,2344695.81,0.857,52.0,5982299.027,415.218,415474.881,1.156,26681.613,40.0,277025.575,0.84,1895.0,46.283,0.981,16.403,16.375,13.975,143.124,1935.563,16732.672,23623268.565,1411.805,0.501,107.754,3,188.166,16.375,13.975,0.858,74.991,0,1,18,45,,,,,,,,,,
5074,F,6,6,99.078,1396848.594,0.82,34.0,4403131.524,209.458,239877.128,0.969,24889.907,33.0,348233.42,0.783,2128.5,49.457,1.066,19.45,10.977,10.219,152.314,2286.293,11407.09,16076872.941,1409.376,0.25,132.9,2,266.029,10.977,10.219,1.273,123.187,0,0,18,45,,,,,,,,,,
5075,F,6,1,78.797,1175203.007,0.903,26.0,3751613.97,150.729,176381.186,1.095,35889.947,37.0,303907.33,0.816,1472.0,54.736,0.973,19.698,12.718,13.819,194.459,1562.839,9772.104,11949709.776,1222.839,0.336,101.421,2,213.881,12.718,13.819,1.412,93.504,0,0,19,45,,,,,,,,,,
5076,F,6,2,103.408,1410375.459,0.876,35.0,4329600.95,49.539,51095.381,1.018,37109.965,39.0,280330.42,0.736,1108.0,65.923,1.07,23.654,11.118,11.118,254.454,1101.692,10270.662,10417861.715,1014.332,0.308,108.718,3,203.426,11.118,11.118,0.994,88.875,0,1,19,45,,,,,,,,,,
5077,F,6,3,157.806,1783711.482,0.805,39.0,7127311.694,303.043,443130.351,1.053,29690.656,29.0,262346.755,0.843,1861.0,46.161,0.89,16.344,8.593,6.435,142.913,1835.712,16618.999,25857160.762,1555.88,0.135,224.328,5,380.986,8.593,6.435,0.917,150.211,0,1,19,45,,,,,,,,,,
5078,F,6,4,144.392,2091307.923,0.896,58.0,5430519.059,106.366,111627.653,1.015,70114.32,75.0,307037.996,0.867,1077.0,64.795,1.053,24.781,18.228,15.817,289.522,1060.498,8827.063,31483422.994,3566.693,0.215,247.001,4,456.698,18.228,15.817,1.48,181.366,0,2,19,45,,,,,,,,,,
5079,F,6,1,90.416,1399949.042,0.836,37.0,3432058.062,208.613,150395.356,1.048,34497.958,54.0,463234.364,0.923,2099.0,54.652,0.969,20.387,21.238,23.789,219.492,2110.484,10940.908,11357734.985,1038.098,0.683,96.185,5,138.214,21.238,23.789,1.066,51.189,0,1,20,45,,,,,,,,,,
5080,F,6,2,83.656,1453772.245,0.896,39.0,3149538.003,303.36,234543.514,1.101,45033.66,72.0,442701.084,0.822,1562.0,66.227,1.149,26.577,21.781,25.495,286.987,1542.58,10342.067,23757454.677,2297.167,0.518,135.05,4,236.13,21.781,25.495,1.508,104.468,0,0,20,45,,,,,,,,,,
