,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,CHRONO_ORDER
643,C,2,4,,,,,,,,,,,239340.334,0.665,2604.5,41.582,1.386,15.817,23.87,21.573,91.473,2616.524,9971.198,31419765.76,3151.052,0.283,299.481,10,374.099,23.87,21.573,1.265,86.899,0,6,3,150.412,1086838.167,0.869,71.0,2385462.754,1397.334,3391048.012,1.188,112767.649,94.0,19
644,C,2,5,,,,,,,,,,,469886.726,0.807,3150.5,48.265,1.059,17.813,17.222,14.323,149.567,3141.642,12082.218,36667877.954,3034.863,0.268,268.731,7,377.175,17.222,14.323,0.595,116.067,0,3,3,270.087,1522491.334,0.82,110.0,3793466.181,1348.112,2673244.813,1.029,111958.501,88.0,19
645,C,2,6,,,,,,,,,,,748700.243,0.858,4226.0,51.165,1.031,19.602,16.371,16.628,178.826,4186.757,9591.477,16558351.234,1726.361,0.408,129.62,3,230.486,16.371,16.628,0.878,102.726,0,1,3,1.901,9549.222,1.015,1.0,18155.731,1056.9,1868665.361,1.383,98289.585,86.0,19
646,C,2,1,,,,,,,,,,,290057.678,0.644,2721.0,45.499,1.317,16.401,11.231,6.825,106.155,2732.405,6604.762,8115628.061,1228.754,0.238,158.216,5,254.962,11.231,6.825,0.826,103.566,0,1,4,51.018,229124.939,0.826,19.0,660906.912,64.749,92403.826,1.223,61075.382,51.0,19
647,C,2,2,,,,,,,,,,,445970.438,0.782,2884.0,49.786,1.147,18.239,12.402,10.754,154.215,2891.878,10214.394,27113046.697,2654.396,0.148,281.815,8,473.983,12.402,10.754,1.169,198.459,0,4,4,206.606,1135378.872,0.896,105.0,2360216.839,1043.274,2371412.2,0.954,73669.271,52.0,19
648,C,2,3,,,,,,,,,,,380248.627,0.498,2858.0,57.78,1.571,18.643,24.547,25.45,132.244,2875.346,7769.206,24942371.799,3210.414,0.263,255.53,6,391.52,24.547,25.45,0.773,141.777,0,4,4,174.178,1043319.729,0.931,88.0,2134952.937,1388.778,2576716.691,1.207,94688.096,80.0,19
649,C,2,4,,,,,,,,,,,225393.294,0.633,2474.0,42.481,1.335,15.075,24.82,24.82,90.944,2478.361,9816.905,33774759.998,3440.469,0.377,184.656,4,338.542,24.82,24.82,1.436,145.427,0,2,4,1.901,28353.333,0.978,2.0,26953.792,1675.555,2936490.767,1.325,204550.963,181.0,19
650,C,2,5,,,,,,,,,,,455902.295,0.89,2975.0,46.046,1.035,17.616,21.146,22.348,150.201,3035.281,9591.298,11407461.129,1189.355,0.69,85.013,3,147.187,21.146,22.348,1.019,55.964,0,1,4,10.563,129246.0,0.976,8.0,168828.674,690.164,1585479.643,1.289,37066.046,32.0,19
651,C,2,1,,,,,,,,,,,401837.011,0.554,2340.0,62.479,1.429,21.381,18.396,16.415,171.96,2336.804,8730.843,16805416.568,1924.833,0.329,169.608,5,271.197,18.396,16.415,0.828,103.298,1,2,5,42.356,349113.628,0.883,29.0,539496.336,164.989,238088.342,1.034,84840.956,70.0,19
652,C,2,2,,,,,,,,,,,544461.947,0.893,3442.5,46.689,0.974,17.507,10.851,9.232,154.849,3516.093,14206.09,18426640.67,1297.094,0.252,130.221,2,254.418,10.851,9.232,1.172,121.466,0,0,5,14.154,118187.006,0.853,8.0,205908.675,698.192,1516152.902,1.349,34588.105,30.0,19
653,C,2,3,,,,,,,,,,,460521.028,0.523,3012.5,60.691,1.937,24.322,18.539,20.855,153.159,3006.826,11227.389,20248239.564,1803.468,0.438,135.005,4,227.402,18.539,20.855,0.847,97.482,0,2,5,17.428,148415.401,0.877,9.0,307520.604,1264.033,2655927.651,1.236,39020.213,33.0,19
654,C,2,4,,,,,,,,,,,568615.05,0.894,2470.0,56.93,1.031,19.698,24.188,14.809,230.477,2467.121,9026.193,16836194.993,1865.26,0.399,158.84,5,242.344,24.188,14.809,0.902,74.711,0,1,5,228.893,1247057.321,0.805,100.0,2961038.174,682.876,1365350.989,0.937,76563.023,55.0,19
655,C,2,5,,,,,,,,,,,748789.392,0.873,4108.0,51.649,0.984,18.239,30.098,31.323,185.375,4039.33,12888.345,24104096.621,1870.224,0.572,133.321,5,202.666,30.098,31.323,0.854,67.19,0,1,5,137.843,949429.518,0.874,62.0,2104862.564,1038.837,2239825.665,1.131,39355.163,31.0,19
656,C,2,6,,,,,,,,,,,634891.084,0.958,3575.0,48.159,0.957,16.589,18.42,19.869,176.819,3590.629,10713.028,14001045.857,1306.918,0.516,102.009,3,178.341,18.42,19.869,0.849,69.16,0,1,5,148.933,958539.805,0.84,72.0,2005214.127,731.464,1720429.329,1.24,13855.034,10.0,19
657,C,2,7,,,,,,,,,,,224960.331,0.841,2796.0,34.612,1.116,13.205,13.658,13.107,80.171,2806.021,10074.987,22718251.751,2254.916,0.215,203.308,4,363.454,13.658,13.107,0.922,158.785,0,2,5,181.889,1004480.882,0.819,71.0,2617414.825,1000.389,2117757.563,1.129,82527.776,66.0,19
658,C,2,8,,,,,,,,,,,345927.698,0.585,2707.0,52.159,1.238,16.72,18.159,17.712,126.752,2729.172,13033.722,18340497.648,1407.157,0.528,145.682,6,183.08,18.159,17.712,0.687,66.268,0,2,5,231.322,1303387.155,0.823,88.0,3538097.013,915.466,2421426.388,0.972,24425.766,15.0,19
659,C,2,9,,,,,,,,,,,689284.444,0.913,3784.0,50.683,0.939,17.701,20.485,20.566,186.642,3693.08,11486.598,21074848.602,1834.734,0.517,108.875,3,211.266,20.485,20.566,1.375,93.108,0,1,5,1.373,11571.385,0.901,1.0,15889.196,991.834,1726345.896,1.319,67495.911,60.0,19
660,C,2,10,,,,,,,,,,,721557.908,0.768,3666.5,56.54,1.097,20.387,17.924,16.465,195.409,3692.549,11578.147,12332329.72,1065.138,0.601,92.147,4,149.206,17.924,16.465,0.87,53.273,0,2,5,87.564,618892.858,0.915,43.0,1262725.678,612.423,1166195.444,1.182,26007.379,22.0,19
661,C,2,11,,,,,,,,,,,472016.264,0.909,2708.0,48.978,0.979,16.377,17.86,18.022,173.439,2721.514,8840.831,12753272.256,1442.542,0.418,153.335,6,208.293,17.86,18.022,0.978,68.938,0,2,5,103.831,758725.629,0.89,60.0,1321162.213,680.446,1249396.448,1.189,45536.89,37.0,19
662,C,2,12,,,,,,,,,,,301064.285,0.367,2501.0,63.967,2.047,16.205,16.983,9.773,119.464,2520.133,7546.208,14317950.855,1897.37,0.297,229.048,8,283.37,16.983,9.773,0.627,87.772,0,6,5,89.043,553320.41,0.923,51.0,988483.047,182.523,302324.199,1.135,96448.836,79.0,19
