,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,CHRONO_ORDER
102,B,3,3,256.25,993322.752,0.676,46.0,5776762.897,384.903,71808.226,1.312,43195.835,264.0,411361.888,0.402,1416.5,93.94,1.264,24.816,17.813,18.537,282.234,1457.519,3360.268,3903560.03,1161.681,0.547,84.901,3,163.372,17.813,18.537,0.939,63.688,0,1,10,,,,,,,,,,,1
103,B,3,4,406.768,1361332.659,0.7,69.0,8560684.619,528.872,98562.278,1.323,66977.071,410.0,242130.249,0.866,912.0,62.425,1.053,23.527,21.893,24.375,268.397,902.134,2975.276,6030494.114,2026.869,0.453,130.85,3,237.23,21.893,24.375,1.047,90.514,0,1,10,,,,,,,,,,,1
104,B,3,5,574.714,419116.052,0.568,19.0,12818439.211,570.489,114766.77,1.358,40280.745,246.0,294748.132,0.942,1280.0,55.337,1.026,19.562,18.237,17.305,229.527,1284.157,3000.344,7375587.403,2458.247,0.327,158.5,3,307.269,18.237,17.305,1.02,129.286,0,1,10,,,,,,,,,,,1
105,B,3,6,50.595,322552.109,0.847,19.0,912237.447,505.106,85166.609,1.304,186649.322,1152.0,283876.621,0.86,992.0,65.081,0.977,21.179,24.223,24.401,289.945,979.071,2856.833,7910875.47,2769.107,0.403,168.874,4,293.952,24.223,24.401,0.853,113.828,0,0,10,,,,,,,,,,,1
106,B,3,7,37.814,377322.917,0.938,19.0,760336.384,402.015,69250.69,1.265,86263.58,527.0,329508.151,0.872,1343.0,60.349,1.027,22.851,18.818,17.525,252.764,1303.618,3168.503,4382944.91,1383.286,0.447,147.287,6,197.31,18.818,17.525,0.634,73.312,0,0,10,,,,,,,,,,,1
107,B,3,8,133.935,536699.494,0.819,25.0,2981671.799,547.146,98840.182,1.332,73726.602,452.0,259015.186,0.753,1275.0,58.938,1.279,23.532,14.95,14.304,208.084,1244.76,3282.492,6226715.986,1896.948,0.303,136.239,2,280.515,14.95,14.304,1.001,126.497,0,0,10,,,,,,,,,,,1
108,B,3,9,438.245,1444884.905,0.71,71.0,9918777.16,789.981,154748.967,1.387,77338.846,477.0,393322.98,0.946,1346.0,62.353,0.991,21.535,18.2,15.884,292.586,1344.3,3123.462,7565080.016,2422.018,0.267,195.456,4,337.439,18.2,15.884,0.831,149.862,0,0,10,,,,,,,,,,,1
109,B,3,10,468.454,880017.453,0.75,54.0,9230209.815,547.463,109680.533,1.275,42283.823,254.0,257733.725,0.74,1039.0,64.836,1.325,26.036,11.857,12.302,247.589,1040.975,3416.334,7918978.19,2317.975,0.161,234.509,4,425.88,11.857,12.302,1.023,194.486,0,2,10,,,,,,,,,,,1
110,B,3,1,303.254,1289439.826,0.673,51.0,9015120.288,283.713,58957.591,1.155,30811.158,169.0,247953.654,0.856,1181.0,55.588,1.085,21.625,13.197,11.231,210.514,1177.85,3142.651,4701703.972,1496.095,0.287,126.04,2,255.876,13.197,11.231,1.139,116.089,0,0,11,,,,,,,,,,,1
111,B,3,2,210.197,857110.219,0.781,45.0,4172863.351,723.331,144294.681,1.344,110754.262,630.0,272401.666,0.943,1048.0,59.143,0.976,21.15,21.625,14.318,262.482,1037.792,2980.0,8812537.372,2957.227,0.266,245.661,6,373.986,21.625,14.318,1.122,121.396,0,4,11,,,,,,,,,,,1
112,B,3,3,267.763,655286.863,0.809,37.0,5412598.559,280.65,54697.565,1.317,51903.331,294.0,226845.448,0.895,1061.0,55.82,1.012,21.116,15.657,11.395,221.816,1022.675,3052.268,4667716.717,1529.262,0.347,129.204,4,235.379,15.657,11.395,0.924,89.755,0,0,11,,,,,,,,,,,1
113,B,3,4,248.011,1021571.281,0.668,53.0,5719611.099,266.39,59153.845,1.189,21841.323,121.0,281086.073,0.867,1488.0,52.397,1.105,20.327,17.006,16.265,189.494,1483.35,3273.782,4891664.088,1494.194,0.442,113.676,3,206.087,17.006,16.265,1.096,87.287,0,1,11,,,,,,,,,,,1
114,B,3,5,331.034,1284917.883,0.745,70.0,6353660.022,401.909,79907.673,1.259,67536.409,381.0,287316.245,0.871,1213.0,58.54,1.051,21.777,17.488,18.07,237.449,1210.015,3200.285,6148183.888,1921.136,0.3,167.881,5,283.509,17.488,18.07,1.304,104.904,0,1,11,,,,,,,,,,,1
115,B,3,6,370.644,835866.703,0.671,36.0,11009589.446,317.619,69004.158,1.214,24865.088,135.0,312368.97,0.734,1424.0,61.614,1.319,25.25,16.787,18.955,221.605,1409.578,3566.594,5078281.441,1423.846,0.322,134.545,5,235.811,16.787,18.955,0.791,89.552,0,3,11,,,,,,,,,,,1
116,B,3,7,297.55,800481.712,0.712,39.0,7460885.095,340.963,76672.859,1.237,30872.874,172.0,288244.281,0.772,1325.0,59.609,1.219,24.291,16.371,18.954,218.33,1320.222,3627.92,5616632.467,1548.169,0.425,103.04,2,213.859,16.371,18.954,1.062,92.833,0,0,11,,,,,,,,,,,1
117,B,3,8,363.778,1079890.393,0.626,46.0,9429252.339,244.42,48012.67,1.248,45438.961,255.0,330684.937,0.862,1551.5,56.196,1.087,21.726,15.956,17.276,216.746,1525.681,3776.389,4946199.305,1309.77,0.395,112.022,3,204.22,15.956,17.276,0.904,87.06,0,1,11,,,,,,,,,,,1
118,B,3,9,177.875,486350.542,0.813,23.0,4289370.742,305.578,63408.061,1.346,41305.708,234.0,342916.178,0.911,1481.5,56.715,0.927,19.849,13.068,9.773,233.223,1470.333,3320.198,3628003.826,1092.707,0.382,115.152,4,189.484,13.068,9.773,0.757,79.985,0,0,11,,,,,,,,,,,1
119,B,3,10,276.742,876391.243,0.539,32.0,7818535.231,271.777,64466.228,1.08,13086.79,68.0,279367.951,0.889,1427.0,52.553,1.018,19.36,15.009,15.392,195.304,1430.429,3093.348,4355441.86,1408.002,0.366,112.169,3,219.919,15.009,15.392,1.134,93.252,0,1,11,,,,,,,,,,,1
